지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
원효대교,20220722,유출,393.0,307.0,245.0,169.0,176.0,354.0,648.0,1408.0,1556.0,1162.0,1100.0,1185.0,1157.0,1241.0,1328.0,1369.0,1625.0,1778.0,1604.0,1399.0,1072.0,978.0,833.0,668.0
원효대교,20220723,유출,445.0,357.0,261.0,200.0,202.0,298.0,445.0,503.0,643.0,798.0,901.0,1030.0,1088.0,1228.0,1178.0,1203.0,1467.0,1237.0,1115.0,1009.0,781.0,772.0,734.0,477.0
원효대교,20220724,유출,306.0,234.0,191.0,150.0,134.0,162.0,268.0,363.0,539.0,610.0,802.0,956.0,1102.0,1125.0,1263.0,1137.0,1252.0,1193.0,953.0,853.0,833.0,825.0,680.0,452.0
원효대교,20220725,유출,344.0,222.0,150.0,130.0,170.0,370.0,738.0,1491.0,1593.0,1040.0,1068.0,1217.0,1122.0,1326.0,1280.0,1439.0,1601.0,1774.0,1903.0,1406.0,951.0,916.0,726.0,482.0
원효대교,20220726,유출,338.0,300.0,202.0,144.0,181.0,341.0,689.0,1428.0,1476.0,1077.0,1106.0,1178.0,1136.0,1328.0,1256.0,1418.0,1648.0,1765.0,1996.0,1304.0,953.0,901.0,747.0,527.0
원효대교,20220727,유출,410.0,288.0,190.0,153.0,168.0,356.0,649.0,1397.0,1575.0,1114.0,1076.0,1206.0,1118.0,1284.0,1332.0,1537.0,1662.0,1708.0,1583.0,1446.0,1040.0,923.0,767.0,571.0
원효대교,20220728,유출,413.0,286.0,209.0,167.0,194.0,326.0,668.0,1366.0,1455.0,1108.0,1058.0,1216.0,1128.0,1255.0,1264.0,1472.0,1562.0,1822.0,1865.0,1407.0,1103.0,968.0,800.0,617.0
원효대교,20220729,유출,385.0,349.0,231.0,166.0,205.0,335.0,632.0,1364.0,1449.0,1126.0,1037.0,1115.0,1226.0,1284.0,1268.0,1380.0,1667.0,1587.0,1414.0,1272.0,1175.0,1105.0,838.0,680.0
원효대교,20220730,유출,471.0,385.0,278.0,259.0,219.0,257.0,433.0,598.0,673.0,782.0,910.0,1039.0,1140.0,1202.0,1296.0,1344.0,1365.0,1344.0,1168.0,1105.0,1009.0,981.0,890.0,594.0
원효대교,20220731,유출,490.0,360.0,276.0,214.0,198.0,203.0,267.0,392.0,570.0,603.0,833.0,877.0,1085.0,1100.0,1181.0,1152.0,1227.0,1185.0,937.0,866.0,787.0,680.0,620.0,378.0
